"scenario,n,algo,comparisons,swaps,nanos,isSorted"
"ordered,100,randomPivot,643,102,149000,true"
"ordered,100,middlePivot,480,126,58100,true"
"reversed,100,randomPivot,662,246,90100,true"
"reversed,100,middlePivot,514,302,53100,true"
"random,100,randomPivot,572,339,145000,true"
"random,100,middlePivot,651,328,54200,true"
"nearlySorted,100,randomPivot,634,133,103800,true"
"nearlySorted,100,middlePivot,483,143,48500,true"
"ordered,500,randomPivot,4901,486,655700,true"
"ordered,500,middlePivot,3498,510,274100,true"
"reversed,500,randomPivot,4576,2102,488100,true"
"reversed,500,middlePivot,3696,2104,284400,true"
"random,500,randomPivot,4969,2429,5106900,true"
"random,500,middlePivot,5262,2452,893300,true"
"nearlySorted,500,randomPivot,5367,1015,1915300,true"
"nearlySorted,500,middlePivot,3624,927,78400,true"
"ordered,1000,randomPivot,10781,1018,208800,true"
"ordered,1000,middlePivot,7987,1022,56300,true"
"reversed,1000,randomPivot,10915,4724,108500,true"
"reversed,1000,middlePivot,8406,4724,1165000,true"
"random,1000,randomPivot,11126,5284,168700,true"
"random,1000,middlePivot,10576,5947,23352700,true"
"nearlySorted,1000,randomPivot,11488,1864,148500,true"
"nearlySorted,1000,middlePivot,8728,2322,50900,true"
"ordered,2000,randomPivot,28627,1988,5749600,true"
"ordered,2000,middlePivot,17964,2046,48700,true"
"reversed,2000,randomPivot,25719,13028,334500,true"
"reversed,2000,middlePivot,18799,10442,97300,true"
"random,2000,randomPivot,25407,11919,570300,true"
"random,2000,middlePivot,25733,13723,175400,true"
"nearlySorted,2000,randomPivot,24110,6262,145000,true"
"nearlySorted,2000,middlePivot,19587,5452,86300,true"
"ordered,5000,randomPivot,69293,5046,635500,true"
"ordered,5000,middlePivot,51822,5904,129000,true"
"reversed,5000,randomPivot,69607,29048,401500,true"
"reversed,5000,middlePivot,53682,29266,204200,true"
"random,5000,randomPivot,70673,34714,714400,true"
"random,5000,middlePivot,66922,32353,457200,true"
"nearlySorted,5000,randomPivot,68682,21428,352100,true"
"nearlySorted,5000,middlePivot,61137,20014,1579100,true"
